Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
SVM_RBF,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
SVM_Linear,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
RandomForest,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
GradientBoosting,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
ExtraTrees,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
KNN,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
NaiveBayes,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
XGBoost,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
LightGBM,elasticnet_then_mrmr,5,16.8,2.6832815729997477,12,18,"[np.int64(18), np.int64(12), np.int64(18), np.int64(18), np.int64(18)]"
