Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
SVM_RBF,0.7904761904761906,0.0629960786151556,0.7650793650793651,0.7650793650793651,0.7726133604824184,0.8190883370104233,0.1050956519047305,0.7948672459253328,0.7319887955182072,0.051265448017402,0.7256637168141593,0.7217063492063491,0.0310173311220029,0.7188888888888889,0.7519949494949495,0.1014917933828591,0.7424242424242424,0.7979365079365079,0.1468160443181758,0.7777777777777778,0.7579310344827587,0.0666571535027777,0.7596899224806202,0.6454761904761905,0.1779806099148694,0.66,0.4416178718736169,0.0682136144074541,0.440504711707395,0.1936880855441604,6.0,6.0,2.1908902300206643,4,6.0,10,0.6500027263041297,0.8563580280763323,0.6009447238721968,0.9107763011237848,0.6354915528396837,0.8095357142857142,0.6335716031280547,0.802019042465471,0.5573711943793911,0.8764044943820225,0.6585365853658537,0.8850621820237422,0.625,0.8504241808483616,0.5142664092664092,0.7916666666666666,0.2682220403855338,0.5977098666268166,0.1561805699552629,0.2370145981427031,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,3,1.7647058823529411
SVM_RBF,0.7875,0.0552656836779481,0.7552380952380952,0.7552380952380952,0.7573811574907979,0.8169401633459957,0.1047551679843135,0.801558693862986,0.7219887955182074,0.0312006029804658,0.7168141592920354,0.7163888888888889,0.0458524147732611,0.7047619047619047,0.7447115113988179,0.1411499182070931,0.7183098591549296,0.8434920634920635,0.1760534287532116,0.8095238095238095,0.7599139784946236,0.0605107333419286,0.7611940298507462,0.5892857142857143,0.2304732388634297,0.6,0.4200031298904537,0.0689149834788951,0.4163976759199483,0.1997485216918733,6.0,6.0,2.1908902300206643,4,6.0,10,0.6451447900338256,0.8469433061335322,0.6112850563896581,0.911138888148886,0.6185567010309279,0.811883303714987,0.6211471799218916,0.7891702127659573,0.5262934879571811,0.8591604313380281,0.6779524330235102,0.9247379032258064,0.6166346153846155,0.8599083877750244,0.4680851063829787,0.7428754578754578,0.2418495588819033,0.583163780766172,0.1563323190086446,0.2482522831581481,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,3,1.7647058823529411
LogisticRegression,0.7776587301587302,0.0517901384718435,0.7622222222222222,0.7622222222222222,0.7679536377163443,0.8149424034233131,0.0885853582730816,0.7776658429788068,0.7337535014005603,0.0568037253558719,0.7256637168141593,0.7270634920634921,0.0543754479742799,0.720952380952381,0.7640404040404041,0.1011082351582432,0.75,0.7836507936507936,0.1365241776975563,0.7619047619047619,0.7585359951603146,0.0641216951261923,0.7559055118110236,0.6704761904761904,0.1820804437106286,0.68,0.4463270063270063,0.1104003310985282,0.4428185143947829,0.1958597451671699,6.0,6.0,2.1908902300206643,4,6.0,10,0.6538387573964497,0.85445667290573,0.5736896669256335,0.909850644489488,0.6344020456333596,0.8102221243392902,0.6280251567795129,0.8054934762348556,0.5640909090909091,0.8941331269349845,0.6438111545988259,0.8620858688302906,0.6170163054285146,0.8484848484848485,0.52,0.8305790960451974,0.2525877921540323,0.6058935621989714,0.1582237401130863,0.2387955415408183,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,3,1.7647058823529411
LogisticRegression,0.7681746031746032,0.0493905920904946,0.7580952380952382,0.7580952380952382,0.7620800375910407,0.8082796824869855,0.1018193535677518,0.7784539350383726,0.7282773109243698,0.0717040384962679,0.7168141592920354,0.7186507936507937,0.0527141877326151,0.7130158730158731,0.7580555555555555,0.104705642660452,0.746031746031746,0.7668253968253967,0.180299853824094,0.746031746031746,0.7433082706766917,0.0976232653896577,0.746031746031746,0.6704761904761904,0.1820804437106286,0.68,0.4362602353103627,0.1151028059191929,0.426031746031746,0.1976413918018772,6.0,6.0,2.1908902300206643,4,6.0,10,0.6520251309306521,0.8527590277777778,0.5781122231799259,0.9099778122631512,0.6259908536585366,0.8103692257644761,0.6191191501772334,0.8077261911355149,0.560590909090909,0.8909336609336608,0.6129032258064516,0.8732475311639953,0.6138557605760576,0.8433775920006558,0.52,0.8305790960451974,0.2373322565668586,0.6065440370915499,0.1621183001647448,0.2366657913604512,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,3,1.7647058823529411
SVM_Linear,0.7667857142857143,0.0674931759379119,0.7561904761904761,0.7561904761904761,0.7596131255384134,0.8079910904931193,0.0995989922173794,0.7845463069078809,0.7337535014005603,0.0568037253558719,0.7256637168141593,0.7286507936507937,0.0548621121353032,0.725079365079365,0.7922222222222223,0.1248010762853241,0.7666666666666667,0.7525396825396825,0.1694197409597186,0.7301587301587301,0.7472716273442226,0.0756735694703273,0.7479674796747967,0.7047619047619047,0.2178799103377779,0.72,0.4477889757301522,0.107827126497266,0.4473891781038018,0.1988741050430126,6.0,6.0,2.1908902300206643,4,6.0,10,0.6486165718114733,0.8514959912536443,0.5967053784715677,0.9143608984221748,0.6350301491589971,0.8130219098801157,0.6314080188679245,0.8165563725490196,0.5833333333333334,0.9032355227361056,0.5964827935222672,0.8510987094523891,0.6190353460972018,0.8461678832116788,0.5689655172413793,0.8571428571428571,0.2599878982105039,0.6167647258806269,0.1619735846364968,0.2383867998957143,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,3,1.7647058823529411
NaiveBayes,0.7608333333333334,0.0451107927560451,0.6771428571428573,0.6771428571428573,0.672801315686428,0.809764711091705,0.0591981791575357,0.7326592651957957,0.6008403361344538,0.0982183737172057,0.5929203539823009,0.5929761904761904,0.0525414808113104,0.5626984126984127,0.6395274697334193,0.1600179265355782,0.5977011494252874,0.8666666666666666,0.2154524381073924,0.8253968253968254,0.692025012025012,0.0927777907139305,0.6933333333333334,0.3192857142857143,0.3100749671624122,0.3,0.1841579811308726,0.0947817499505435,0.1319305277221109,0.3069422163839226,6.0,6.0,2.1908902300206643,4,6.0,10,0.5424411514447545,0.8073958706289532,0.5274366718357311,0.8799118439491009,0.4682411674347158,0.7154133858267715,0.4852741684713199,0.6505053699955013,0.4117384453781513,0.759523423131018,0.7058823529411765,0.9423214285714284,0.543859649122807,0.8064560684369987,0.1632534409112482,0.4773409090909087,-0.0297815309250156,0.3158428766391737,0.2088365054455334,0.4183644518296252,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,3,1.7647058823529411
SVM_Linear,0.7565674603174604,0.0624449997352671,0.7493650793650793,0.7493650793650795,0.7589474508575456,0.797561583181259,0.1070925252795469,0.7895651941439474,0.7170868347338935,0.0616135080327502,0.7079646017699115,0.7156349206349206,0.0558403133011372,0.6968253968253968,0.7361038961038961,0.1294080089793179,0.7142857142857143,0.8203174603174602,0.1475504192751382,0.7936507936507936,0.7552026618269811,0.0706450326808664,0.7518796992481203,0.6109523809523809,0.1968896464515557,0.6,0.4194544194544194,0.1138415593425553,0.3994201964889676,0.1982616899436546,6.0,6.0,2.1908902300206643,4,6.0,10,0.645761758118701,0.84132756264996,0.5952898291223429,0.909295591836874,0.6016949152542372,0.8048832162050434,0.6022727272727273,0.7908448259845026,0.5191964285714287,0.8648648648648649,0.6727194357366771,0.8947564807541241,0.6041487068965518,0.8505810630596303,0.4324170761670762,0.7659945571499256,0.2028013926031568,0.577007097791798,0.1571994292285428,0.2422012686737084,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,3,1.7647058823529411
ExtraTrees,0.7514285714285716,0.0912489969296383,0.7222222222222222,0.7222222222222223,0.7227660740856763,0.7795287327807408,0.1568300577485302,0.7741342198173871,0.6548459383753501,0.0699713271986896,0.6460176991150443,0.6509126984126984,0.0701453966357465,0.6453968253968254,0.6968831168831169,0.1446186556924653,0.6949152542372882,0.6682539682539682,0.1543360033007204,0.6507936507936508,0.6687912087912088,0.1121624402088319,0.6721311475409836,0.6335714285714286,0.1461687590507936,0.64,0.2911974994621819,0.1362022869413721,0.2884130982367758,0.2205555856429713,6.0,6.0,2.1908902300206643,4,6.0,10,0.6109720341504841,0.8212039170506912,0.5757903966755411,0.8920899974935154,0.5399803921568628,0.7431192660550459,0.5378710873532027,0.7410740546218487,0.4693877551020408,0.8484991423670668,0.490566037735849,0.7948863636363636,0.5046686873789678,0.7857380952380951,0.5,0.7736202830188678,0.0731197245022598,0.4705959582957909,0.1999672366243118,0.2426597153622177,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,3,1.7647058823529411
KNN,0.7490079365079365,0.0538054851694132,0.7295238095238094,0.7295238095238095,0.7257811888166653,0.8059908177000541,0.0614176814664788,0.8090902346377062,0.6686554621848739,0.0582337648663469,0.6637168141592921,0.6845634920634921,0.0607954639374859,0.6633333333333333,0.7234090909090909,0.1300738823747221,0.711864406779661,0.6974603174603173,0.1671982452431725,0.6666666666666666,0.6894834820352062,0.0823377177550647,0.6885245901639344,0.6716666666666666,0.1294861639970335,0.66,0.3442557164851456,0.119409842613115,0.323992443324937,0.2193119681225787,10.0,10.0,5.513619500836088,4,10.0,18,0.6052251344086023,0.8254810809300244,0.6556903118408585,0.9002879204223416,0.5494239631336406,0.7657657657657657,0.5455908385093168,0.766755170551011,0.4883720930232558,0.8666666666666667,0.4883579126488939,0.7978089887640446,0.5,0.8,0.5,0.8125363372093021,0.089058768026242,0.5173861327547752,0.1752469028412148,0.2713895466584249,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,44,2,1.1363636363636365
KNN,0.7463690476190477,0.0623977369478707,0.7134920634920635,0.7134920634920634,0.7119194925209491,0.7601316387674626,0.1365020908478897,0.726136471059906,0.6797478991596639,0.0670808024047683,0.672566371681416,0.6796031746031745,0.0317971810163185,0.6588888888888889,0.6993627450980392,0.138099258610458,0.6805555555555556,0.8101587301587301,0.1581309324147055,0.7777777777777778,0.7255500821018062,0.0810300889035255,0.725925925925926,0.549047619047619,0.1788955788104162,0.54,0.3518342542608849,0.0777747616593944,0.3237910399482452,0.2305362341051488,6.0,6.0,2.1908902300206643,4,6.0,10,0.6138862682201991,0.7936585020264563,0.5290832710058871,0.8641215750150821,0.5757575757575758,0.7582440476190476,0.5738094577453623,0.7348170289855073,0.4901122291021673,0.8192869840015801,0.6571205357142857,0.8863636363636364,0.5813604651162791,0.8223462699993574,0.3962165880503145,0.6666666666666666,0.148426685563254,0.4714386317907444,0.1910405072106321,0.2804772289506724,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,3,1.7647058823529411
