Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
KNN,0.7672478991596638,0.0981678212557853,0.7647235576923077,0.798354315666422,0.0593865832746101,0.8150282786635179,0.6953162583307189,0.0717818685705607,0.6982758620689655,0.6785504201680672,0.0619946005006717,0.7049278846153846,0.7328937728937729,0.1191577737762933,0.7735849056603774,0.5701960784313725,0.2113518124354783,0.640625,0.6263520871143375,0.1497128817448793,0.7008547008547008,0.7869047619047619,0.0898404285114007,0.7692307692307693,7.2,7.2,3.249615361854384,4,6.0,12
SVM_RBF,0.7115149393090568,0.0998157554415249,0.7510516826923077,0.786478322777017,0.1124307688475073,0.8231903139340171,0.676306057062453,0.0278348406635297,0.6724137931034483,0.6546218487394958,0.0639896809340531,0.6742788461538461,0.7105169340463459,0.2218534629310352,0.7241379310344828,0.5901960784313725,0.180392156862745,0.65625,0.6251023486317604,0.1518430627079736,0.6885245901639344,0.719047619047619,0.203248994317576,0.6923076923076923,7.2,7.2,3.249615361854384,4,6.0,12
SVM_Linear,0.7093930905695611,0.0915527286815818,0.744140625,0.7535593739446229,0.1691791545608705,0.8013510963219737,0.67467936833899,0.042087015178285,0.6810344827586207,0.6658496732026143,0.0243019509053309,0.6748798076923077,0.6614430014430014,0.1343591777911641,0.7014925373134329,0.7039215686274509,0.1359037133424584,0.734375,0.6689932126696833,0.1119226470259843,0.7175572519083969,0.6277777777777778,0.0888888888888888,0.6153846153846154,7.2,7.2,3.249615361854384,4,6.0,12
NaiveBayes,0.7060076252723311,0.0390461400861133,0.7091346153846153,0.7525031189465812,0.1602013804955643,0.7508879040545242,0.604469828774612,0.0334674900280364,0.6120689655172413,0.5751517273576097,0.0324607592659438,0.5871394230769231,0.5726761619190405,0.1227680429290834,0.6091954022988506,0.7745098039215685,0.1742783219081488,0.828125,0.6451945080091533,0.1237280577644995,0.7019867549668874,0.3757936507936508,0.1865822209377625,0.3461538461538461,7.2,7.2,3.249615361854384,4,6.0,12
RandomForest,0.7009430438842202,0.0929904789475479,0.7175480769230769,0.7692098690968938,0.1069045428424303,0.7567304441543883,0.6550801935674015,0.080914433235034,0.6724137931034483,0.6374883286647993,0.1124096340623302,0.6724759615384616,0.6911111111111111,0.2675356212581332,0.7166666666666667,0.6019607843137255,0.177945902816289,0.671875,0.621187147738872,0.1885305610730794,0.6935483870967742,0.6730158730158731,0.2292208587062084,0.6730769230769231,7.2,7.2,3.249615361854384,4,6.0,12
LogisticRegression,0.6936749144102086,0.0861126177234923,0.743389423076923,0.7395266672889487,0.1795009022523287,0.7730873698460934,0.6862354182710133,0.0238266666874369,0.6896551724137931,0.658578431372549,0.0529436979953052,0.6881009615384616,0.6793650793650794,0.1814390559261404,0.7258064516129032,0.6254901960784314,0.1897407122102422,0.703125,0.6409705715902659,0.163766950584137,0.7142857142857143,0.6916666666666667,0.141202944745987,0.6730769230769231,7.2,7.2,3.249615361854384,4,6.0,12
ExtraTrees,0.689360410830999,0.0940663838946559,0.6977163461538461,0.7693580360195732,0.1102201797636558,0.7615384948947135,0.6541427797267619,0.0877540731821907,0.6724137931034483,0.6465359477124183,0.1074642979517995,0.6742788461538461,0.7013725490196079,0.2740539632607622,0.7241379310344828,0.5819607843137256,0.1932438244851648,0.65625,0.6074631716619546,0.1957493932972439,0.6885245901639344,0.711111111111111,0.1839216150805205,0.6923076923076923,7.2,7.2,3.249615361854384,4,6.0,12
LightGBM,0.6673257080610022,0.0448447519750623,0.6197415865384616,0.7277429699020888,0.0883818985167455,0.6435222956856064,0.5766506945038647,0.1108190935864061,0.603448275862069,0.5848996265172736,0.0751413418524495,0.5973557692307692,0.597922077922078,0.1966713215061752,0.6363636363636364,0.6368627450980392,0.1634423993833487,0.65625,0.5873082402494167,0.1552123663085052,0.6461538461538462,0.532936507936508,0.1773574253777065,0.5384615384615384,7.2,7.2,3.249615361854384,4,6.0,12
XGBoost,0.6293713040771864,0.0601510341169361,0.6496394230769231,0.7218256625310884,0.1062436913082044,0.6930806815819858,0.6326987250791477,0.0347410242754635,0.6379310344827587,0.6347712418300653,0.0513654803964639,0.6376201923076923,0.6968421052631579,0.2171428108590911,0.6833333333333333,0.6250980392156862,0.1643993412589665,0.640625,0.6135059871901977,0.1075366932792631,0.6612903225806451,0.6444444444444445,0.2398559238324767,0.6346153846153846,7.2,7.2,3.249615361854384,4,6.0,12
GradientBoosting,0.613391690009337,0.0380243514538296,0.6068209134615384,0.6967334390648762,0.0789398964307716,0.6799471607401042,0.556353212971678,0.0763665913351351,0.5689655172413793,0.5420658263305322,0.0751221848255582,0.5715144230769231,0.5582539682539683,0.1899368024214479,0.625,0.4996078431372549,0.1571096096685732,0.546875,0.5182730578326993,0.1685492129294603,0.5833333333333334,0.5845238095238094,0.0882488293582072,0.5961538461538461,7.2,7.2,3.249615361854384,4,6.0,12
