Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
SVM_RBF,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
SVM_Linear,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
RandomForest,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
GradientBoosting,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
ExtraTrees,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
KNN,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
NaiveBayes,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
XGBoost,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
LightGBM,mrmr_then_elasticnet_no_corr,5,6.8,1.7888543819998317,6,10,"[np.int64(6), np.int64(6), np.int64(10), np.int64(6), np.int64(6)]"
