,Morph_Compacity,Morph_Compactness1,Morph_Compactness2,Morph_SphericalDisproportion,Morph_Sphericity,Morph_Asphericity,IB_MeanIntensity,IB_MedianIntensity,IB_50thIntensityPercentile,IB_AreaUnderCurveCIVH,IB_RootMeanSquareIntensity,IH_IntensityHistogramMean_Intensity
Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.03882869517001603,0.04995981859438349,0.04995981859438349,0.0452876560416011,0.024434653598885043,0.03771973205053275
Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.03882869517001603,-0.04995981859438349,-0.04995981859438349,-0.0452876560416011,-0.024434653598885043,-0.03771973205053275
Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.03882869517001603,-0.04995981859438349,-0.04995981859438349,-0.0452876560416011,-0.024434653598885043,-0.03771973205053275
Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.03882869517001603,0.04995981859438349,0.04995981859438349,0.0452876560416011,0.024434653598885043,0.03771973205053275
Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.03882869517001603,-0.04995981859438349,-0.04995981859438349,-0.0452876560416011,-0.024434653598885043,-0.03771973205053275
Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.03882869517001603,0.04995981859438349,0.04995981859438349,0.0452876560416011,0.024434653598885043,0.03771973205053275
IB_MeanIntensity,0.03882869517001603,-0.03882869517001603,-0.03882869517001603,0.03882869517001603,-0.03882869517001603,0.03882869517001603,1.0,0.9849071519312409,0.9849071519312409,0.999348109517601,0.9909559561809708,0.9999700280237978
IB_MedianIntensity,0.04995981859438349,-0.04995981859438349,-0.04995981859438349,0.04995981859438349,-0.04995981859438349,0.04995981859438349,0.9849071519312409,1.0,1.0,0.9852555781126641,0.9744468734523869,0.9851506756064291
IB_50thIntensityPercentile,0.04995981859438349,-0.04995981859438349,-0.04995981859438349,0.04995981859438349,-0.04995981859438349,0.04995981859438349,0.9849071519312409,1.0,1.0,0.9852555781126641,0.9744468734523869,0.9851506756064291
IB_AreaUnderCurveCIVH,0.0452876560416011,-0.0452876560416011,-0.0452876560416011,0.0452876560416011,-0.0452876560416011,0.0452876560416011,0.999348109517601,0.9852555781126641,0.9852555781126641,1.0,0.989906937013892,0.999348109517601
IB_RootMeanSquareIntensity,0.024434653598885043,-0.024434653598885043,-0.024434653598885043,0.024434653598885043,-0.024434653598885043,0.024434653598885043,0.9909559561809708,0.9744468734523869,0.9744468734523869,0.989906937013892,1.0,0.9912032249846393
IH_IntensityHistogramMean_Intensity,0.03771973205053275,-0.03771973205053275,-0.03771973205053275,0.03771973205053275,-0.03771973205053275,0.03771973205053275,0.9999700280237978,0.9851506756064291,0.9851506756064291,0.999348109517601,0.9912032249846393,1.0
