Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
SVM_RBF,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
SVM_Linear,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
RandomForest,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
GradientBoosting,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
ExtraTrees,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
KNN,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
NaiveBayes,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
XGBoost,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
LightGBM,elasticnet_then_mrmr,5,10.4,5.727128425310542,4,18,"[np.int64(4), np.int64(14), np.int64(18), np.int64(10), np.int64(6)]"
