Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post1_GLCM_Autocorrelation
1,2,Post1_Morph_Compacity
1,3,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
1,4,Post1_Morph_SphericalDisproportion
1,5,Post1_GLCM_InverseVariance
1,6,Post1_GLCM_JointMaximum
2,1,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity
2,2,Post1_Morph_Compactness2
2,3,T2_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity
2,4,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,5,Post1_GLCM_ClusterShade
2,6,Post1_IH_IntensityHistogramMode_Intensity
2,7,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
2,8,Post1_GLCM_SumAverage
2,9,T2_Morph_Compacity
2,10,T2_IH_MaximumHistogramGradientGreyLevel_Intensity
2,11,T2_GLCM_NormalisedInverseDifference
2,12,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
2,13,Post1_IH_IntensityHistogramMinimumGreyLevel_Intensity
2,14,Post1_IH_AreaUnderCurveCIVH_Intensity
2,15,T2_GLCM_JointVariance
2,16,T2_IB_TotalLesionGlycolysis
2,17,Post1_Morph_Asphericity
2,18,Post1_IH_IntensityHistogramMean_Intensity
3,1,Post1_IB_50thIntensityPercentile
3,2,T2_GLCM_ClusterShade
3,3,Post1_IH_IntensityHistogramMode_Intensity
3,4,Post1_Morph_Compacity
4,1,Post1_IH_IntensityHistogramMode_Intensity
4,2,T2_Morph_Compacity
4,3,T2_IB_MinimumIntensity
4,4,T2_IH_IntensityHistogramKurtosis_Intensity
4,5,Post1_Morph_Compacity
4,6,T2_IB_MedianIntensity
4,7,T2_IH_MinimumHistogramGradient_Intensity
4,8,T2_GLRLM_LongRunLowGreyLevelEmphasis
4,9,Post1_IH_MaximumHistogramGradientGreyLevel_Intensity
4,10,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
4,11,T2_GLCM_ClusterTendency
4,12,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
5,1,Post1_IB_75thIntensityPercentile
5,2,Post1_GLRLM_HighGreyLevelRunEmphasis
5,3,Post1_Morph_Compacity
5,4,T2_GLRLM_LongRunHighGreyLevelEmphasis
5,5,Post1_Morph_Asphericity
5,6,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
5,7,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
5,8,Post1_Morph_SphericalDisproportion
