Feature_Name,Selection_Count,Selection_Frequency,Selected_As_Stable
ADC_IH_IntensityHistogramMedian_Intensity,4,0.8,True
ADC_IB_MedianIntensity,3,0.6,True
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,3,0.6,True
Post1_Morph_Compactness1,3,0.6,True
Post1_IH_IntensityHistogramMode_Intensity,3,0.6,True
Post1_GLSZM_NormalisedZoneSizeNonUniformity,3,0.6,True
Post1_Morph_Compactness2,2,0.4,True
Post1_GLSZM_GreyLevelVariance,2,0.4,True
ADC_GLSZM_GreyLevelVariance,2,0.4,True
Post1_Morph_Sphericity,2,0.4,True
Post1_GLSZM_ZoneSizeVariance,2,0.4,True
Post1_GLSZM_GreyLevelNonUniformity,2,0.4,True
Post1_GLSZM_LargeZoneLowGreyLevelEmphasis,2,0.4,True
Pre_NGTDM_Complexity,1,0.2,False
Post1_GLCM_InverseDifferenceMoment,1,0.2,False
Pre_GLCM_ClusterProminence,1,0.2,False
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,1,0.2,False
Pre_Morph_Compactness1,1,0.2,False
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,False
Post1_IB_IntensityRange,1,0.2,False
Pre_IB_MeanIntensity,1,0.2,False
Post1_GLSZM_ZoneSizeNonUniformity,1,0.2,False
ADC_IB_StandardDeviation,1,0.2,False
Pre_Morph_Compactness2,1,0.2,False
Post1_GLRLM_ShortRunHighGreyLevelEmphasis,1,0.2,False
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2,False
Pre_GLSZM_GreyLevelVariance,1,0.2,False
Pre_Morph_Compacity,1,0.2,False
