Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
SVM_RBF,0.8041666666666668,0.0335067296557682,0.7830158730158729,0.8386463257136487,0.0842169864175714,0.8373132469626811,0.7273249299719888,0.0882719056141188,0.7168141592920354,0.7404365079365081,0.0740857606049516,0.7192063492063492,0.7840842490842491,0.0788798815772444,0.7719298245614035,0.733968253968254,0.1572072979944187,0.6984126984126984,0.7428377504848094,0.0893394234267519,0.7333333333333333,0.746904761904762,0.0854413644400042,0.74,8.4,8.4,4.8,4,6.0,16,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,22,5,1.9090909090909092
SVM_Linear,0.7927380952380952,0.0451892663237556,0.7726984126984127,0.8474377926664381,0.084388421020756,0.8404095590668283,0.6787535014005603,0.0777145312561746,0.672566371681416,0.6842857142857144,0.0839270610393569,0.6630158730158731,0.7093778280542986,0.1138585332168397,0.6911764705882353,0.7752380952380953,0.1235471375131965,0.746031746031746,0.7252106479083823,0.0588812925737817,0.7175572519083969,0.5933333333333334,0.1522424966222565,0.58,8.4,8.4,4.8,4,6.0,16,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,22,5,1.9090909090909092
KNN,0.7708531746031746,0.0503046588793072,0.7138095238095238,0.7997997693263431,0.1227574549989931,0.7436609932684766,0.6718487394957983,0.1053651425962558,0.6548672566371682,0.6916269841269841,0.0789369803272821,0.6615873015873015,0.7775641025641026,0.1749377648329828,0.7307692307692307,0.6415873015873015,0.1874667015027885,0.6031746031746031,0.6646253670550346,0.1464565607027866,0.6608695652173913,0.7416666666666666,0.1755942292142123,0.72,7.2,7.2,4.1182520563948,4,4.0,14,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,25,4,1.44
KNN,0.7637301587301588,0.0641733536973637,0.6973015873015872,0.7822141820168137,0.1437768203641428,0.6966161939452311,0.6718487394957983,0.1053651425962558,0.6548672566371682,0.6973412698412699,0.0729005732159072,0.6553968253968254,0.7728021978021978,0.1781855509539757,0.7068965517241379,0.6982539682539681,0.2164036428970364,0.6507936507936508,0.6816583340880017,0.1417212871096811,0.6776859504132231,0.6964285714285714,0.2248708372022399,0.66,7.2,7.2,4.1182520563948,4,4.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,25,4,1.44
SVM_Linear,0.7574206349206349,0.0293965939858559,0.7173015873015873,0.8067385351563484,0.0614974417266226,0.7489912376663281,0.6988935574229693,0.0682360415389605,0.6902654867256637,0.7033333333333334,0.052369286820292,0.6912698412698413,0.7543650793650793,0.0793293570400327,0.7413793103448276,0.7171428571428571,0.1652239903712687,0.6825396825396826,0.7139934139934139,0.0904605189912307,0.7107438016528925,0.6895238095238094,0.1383954044824444,0.7,9.2,9.2,2.4,6,8.0,12,corr_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post1/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,30,5,1.5333333333333334
LightGBM,0.7563492063492063,0.0609712892298929,0.7225396825396826,0.7890283912799024,0.0885581688781579,0.7941099273806389,0.7149439775910365,0.093070926867582,0.7079646017699115,0.6897222222222221,0.1238970234153617,0.7030158730158731,0.7395530939648587,0.1108291847275269,0.734375,0.7525396825396825,0.1278959327520326,0.746031746031746,0.7405610755468441,0.1005842959274248,0.7401574803149606,0.6269047619047619,0.242536669972149,0.66,9.2,9.2,2.4,6,8.0,12,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post1/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,30,5,1.5333333333333334
