Experiment_ID,FS_METHOD,Model,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
corr_mrmr_auto_k,corr_mrmr,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6668253968253968,0.6644841269841268,-0.0023412698412699218,0.093140457765484,0.0855625862175862,-0.00757787154789781,0.6644444444444444,0.6603174603174603,-0.00412698412698409,0.7516558434891112,0.7485667671380996,-0.0030890763510116326,0.7093848988129319,0.7083874433542738,-0.0009974554586580364,0.650436507936508,0.6078571428571429,-0.042579365079365106,0.6395238095238096,0.5815873015873017,-0.05793650793650795,0.6604730781201369,0.6284900284900286,-0.03198304963010834,0.6554621848739496,0.6178861788617886,-0.037576006012160934,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,GradientBoosting,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7294841269841269,0.7140476190476192,-0.015436507936507748,0.054177291242451,0.1111257359989582,0.0569484447565072,0.6984126984126984,0.6926984126984126,-0.005714285714285783,0.798521949460546,0.7641729628597886,-0.03434898660075736,0.7822388749839049,0.752653947822667,-0.02958492716123784,0.6588492063492064,0.6855555555555556,0.026706349206349178,0.6392063492063491,0.6912698412698413,0.052063492063492145,0.689855193539404,0.6993958013312851,0.00954060779188104,0.6875,0.7107438016528925,0.023243801652892526,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,KNN,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6510714285714285,0.6650396825396825,0.013968253968253963,0.1182482154774136,0.1093521774590774,-0.008896038018336203,0.599047619047619,0.6325396825396825,0.03349206349206346,0.7348046588388748,0.7281657840808723,-0.006638874758002511,0.6824955517581276,0.6732463781241986,-0.009249173633928964,0.591468253968254,0.6184523809523809,0.026984126984126888,0.5692063492063492,0.6133333333333333,0.044126984126984126,0.6572009962760555,0.6582760376878024,0.0010750414117468576,0.6518518518518519,0.6614173228346457,0.009565470982793811,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,LightGBM,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7563492063492063,0.7170238095238095,-0.03932539682539682,0.0609712892298929,0.0619002338596313,0.0009289446297384013,0.7225396825396826,0.6968253968253969,-0.02571428571428569,0.7890283912799024,0.7866614065520746,-0.0023669847278278144,0.7941099273806389,0.7749400052537951,-0.019169922126843764,0.6897222222222221,0.6413095238095238,-0.04841269841269835,0.7030158730158731,0.6412698412698412,-0.06174603174603188,0.7405610755468441,0.6800366300366301,-0.060524445510214075,0.7401574803149606,0.6825396825396826,-0.05761779777527809,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7190079365079364,0.7342857142857143,0.015277777777777946,0.07405302043962,0.0434190094365183,-0.030634011003101702,0.6993650793650793,0.7133333333333335,0.013968253968254185,0.7907939228854752,0.802000281599574,0.011206358714098807,0.7487346313508816,0.7756528622357222,0.026918230884840577,0.6211904761904762,0.643888888888889,0.022698412698412773,0.6215873015873016,0.6474603174603175,0.025873015873015937,0.6336554619676218,0.6652901041285796,0.03163464216095779,0.6386554621848739,0.6666666666666666,0.02801120448179273,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,NaiveBayes,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.6076587301587302,0.6048412698412698,-0.0028174603174603297,0.0710902038426428,0.0723426520778011,0.0012524482351583127,0.51015873015873,0.5304761904761905,0.02031746031746051,0.721313436841988,0.712315837997382,-0.008997598844606047,0.5893085269026876,0.5984125813691781,0.00910405446649043,0.5721825396825396,0.5805158730158729,0.008333333333333304,0.5426984126984127,0.5526984126984127,0.010000000000000009,0.6963287310489606,0.7001166098368394,0.0037878787878787845,0.6842105263157895,0.6887417218543046,0.004531195538515109,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,RandomForest,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7329761904761904,0.7342857142857143,0.0013095238095238715,0.0612342091470647,0.0749492143499212,0.013715005202856505,0.7038095238095239,0.702857142857143,-0.0009523809523809268,0.7817321607198073,0.8003679221663329,0.018635761446525567,0.7342138824298516,0.7368261080524331,0.0026122256225814544,0.6677380952380952,0.6714285714285714,0.003690476190476133,0.6612698412698412,0.6592063492063491,-0.0020634920634921006,0.6995024840520916,0.7039380286224606,0.004435544570368988,0.6935483870967742,0.6984126984126984,0.00486431131592413,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,SVM_Linear,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7413492063492064,0.7574206349206349,0.016071428571428514,0.0307527137480948,0.0293965939858559,-0.0013561197622388999,0.6987301587301586,0.7173015873015873,0.018571428571428683,0.7918580096933925,0.8067385351563484,0.01488052546295593,0.7224357251934306,0.7489912376663281,0.026555512472897558,0.6651190476190476,0.7033333333333334,0.038214285714285756,0.6468253968253967,0.6912698412698413,0.04444444444444451,0.7257592256503328,0.7139934139934139,-0.011765811656918923,0.7246376811594203,0.7107438016528925,-0.013893879506527762,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,SVM_RBF,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7165079365079364,0.7197222222222222,0.003214285714285725,0.048264540404092,0.0371059543988812,-0.011158586005210795,0.6647619047619048,0.6857142857142857,0.020952380952380945,0.7899723873726174,0.790665012810857,0.000692625438239558,0.704366867805984,0.7249606464579121,0.02059377865192813,0.6238888888888888,0.6819841269841269,0.05809523809523809,0.5850793650793651,0.6592063492063491,0.07412698412698404,0.6817306707629288,0.7045991045991045,0.02286843383617565,0.6715328467153284,0.6984126984126984,0.02687985169736995,9.2,9.2,0.0,30,30,0
corr_mrmr_auto_k,corr_mrmr,XGBoost,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7261904761904762,0.7152777777777779,-0.010912698412698263,0.0677356658885001,0.0697853311335628,0.0020496652450627123,0.7088888888888889,0.7107936507936508,0.0019047619047618536,0.7673229577193451,0.7694691343174539,0.0021461765981087844,0.7557997347386407,0.7919721016583714,0.03617236691973069,0.6530555555555555,0.630436507936508,-0.02261904761904754,0.6630158730158731,0.6433333333333333,-0.019682539682539746,0.7075226244343892,0.6645493296132683,-0.04297329482112089,0.7175572519083969,0.6774193548387096,-0.04013789706968729,9.2,9.2,0.0,30,30,0
