Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
ExtraTrees,0.7217156862745098,0.09366158453414225,0.6959134615384617,0.7869331267093982,0.03811641280911283,0.7575756639461875,0.6865211108258938,0.04845607712422971,0.6724137931034483,0.6993930905695611,0.08295768313874344,0.6688701923076923,0.7234173669467787,0.16679891182525308,0.703125,0.7352941176470588,0.16428517698551695,0.703125,0.6939499484004127,0.03641871851323415,0.703125,0.6634920634920635,0.1897871133667952,0.6346153846153846,14.8,14.8,3.249615361854384,10,16.0,18
KNN,0.7044631185807656,0.09955612136150323,0.6591045673076923,0.7185914374666625,0.061019673473362915,0.6778556524801788,0.6161323597919816,0.11211939483653349,0.6379310344827587,0.6564869281045751,0.05173527750012842,0.6304086538461539,0.658968678380443,0.18928349709908895,0.6617647058823529,0.7435294117647059,0.1748790981276428,0.703125,0.6526447183647995,0.1065866090922324,0.6818181818181818,0.5694444444444444,0.21372648957412607,0.5576923076923077,14.8,14.8,3.249615361854384,10,16.0,18
RandomForest,0.6956146903205725,0.12620370863281113,0.6532451923076922,0.7531871624758285,0.07705158360226087,0.7195041213444797,0.6102169552113935,0.07900069202002757,0.5948275862068966,0.6201587301587301,0.10870376858806298,0.5895432692307692,0.6193258574332743,0.06942675858544789,0.6307692307692307,0.6799999999999999,0.22177640786725983,0.640625,0.6211764705882353,0.08701465051401032,0.6356589147286822,0.5603174603174603,0.143196246560357,0.5384615384615384,14.8,14.8,3.249615361854384,10,16.0,18
XGBoost,0.6861469032057268,0.11595089156613916,0.655048076923077,0.7355168333377771,0.0971848768917132,0.7263256204064201,0.6248709392202161,0.09729372403884404,0.6379310344827587,0.6539565826330531,0.07738915884846347,0.6304086538461539,0.6534803921568628,0.18250997349941986,0.6617647058823529,0.7352941176470588,0.1764705882352941,0.703125,0.6515741677506384,0.10708412966667183,0.6818181818181818,0.5726190476190476,0.19071413709048368,0.5576923076923077,14.8,14.8,3.249615361854384,10,16.0,18
LogisticRegression,0.6260994397759104,0.09831170626440179,0.591045673076923,0.6892271842991928,0.09507958027155905,0.6474168151416758,0.6006973560366219,0.085354798366949,0.5948275862068966,0.5973506069094305,0.08922648664447448,0.5877403846153846,0.6159663865546219,0.1770618346750532,0.6268656716417911,0.6450980392156862,0.11270672833882282,0.65625,0.6095545235638115,0.1127548009155453,0.6412213740458015,0.5496031746031746,0.1829618995565536,0.5192307692307693,14.8,14.8,3.249615361854384,10,16.0,18
SVM_Linear,0.6213445378151261,0.10353638822604952,0.5677584134615384,0.6570187850448059,0.09824529462354793,0.6158130749451801,0.5488462964547502,0.08824344055602261,0.5431034482758621,0.5885947712418301,0.07670822247166662,0.5390625,0.47301075268817205,0.2805071963441089,0.5873015873015873,0.6494117647058824,0.36606199486295343,0.578125,0.5125,0.2666666666666667,0.5826771653543307,0.5277777777777778,0.34336749200805433,0.5,14.8,14.8,3.249615361854384,10,16.0,18
NaiveBayes,0.6056380329909741,0.04715649933763881,0.6213942307692307,0.6495768757879579,0.150228900796941,0.6677608451681961,0.5984631546922983,0.0513418057000921,0.603448275862069,0.5677521008403361,0.0566066254643277,0.5811298076923077,0.5704650856389988,0.12521252921162018,0.6071428571428571,0.7509803921568627,0.14824359350145724,0.796875,0.6371794871794872,0.12234767334968566,0.6891891891891891,0.38452380952380955,0.19588227705717678,0.36538461538461536,14.8,14.8,3.249615361854384,10,16.0,18
SVM_RBF,0.5969102085278555,0.17343061061397577,0.561748798076923,0.6610187922237509,0.099340527541005,0.6122740688641973,0.5356573780934182,0.09123400355843597,0.5431034482758621,0.5770751633986928,0.0631331528864084,0.5336538461538461,0.5801536098310291,0.16101474226201348,0.5797101449275363,0.6847058823529412,0.3051937951452416,0.625,0.5567710868644655,0.16834358814021572,0.6015037593984962,0.46944444444444444,0.30887090275372536,0.4423076923076923,14.8,14.8,3.249615361854384,10,16.0,18
GradientBoosting,0.595655929038282,0.15135289502076416,0.5688100961538461,0.6971570213389866,0.11344876228552113,0.6239706908223198,0.544186798246865,0.07724272630594724,0.5431034482758621,0.5672525676937441,0.09633615334040178,0.5336538461538461,0.587843137254902,0.16222406554913807,0.5797101449275363,0.668235294117647,0.20205175944497414,0.625,0.5804300098417745,0.08179758471457331,0.6015037593984962,0.4662698412698413,0.2160567612028757,0.4423076923076923,14.8,14.8,3.249615361854384,10,16.0,18
LightGBM,0.5695969498910676,0.14401703013905418,0.5889423076923077,0.6835257760791851,0.11191290777897178,0.6946915580027321,0.546064002738085,0.14952485239375438,0.5172413793103449,0.5350630252100841,0.14139581053360892,0.515625,0.5553968253968253,0.11431921907464304,0.5666666666666667,0.5427450980392157,0.14173310742684256,0.53125,0.5431436210847975,0.11750758775177694,0.5483870967741935,0.5273809523809524,0.17873185034018618,0.5,14.8,14.8,3.249615361854384,10,16.0,18
