Feature_Name,Selection_Count,Selection_Frequency
IH_MinimumHistogramGradientGreyLevel_Intensity,4,0.8
IB_IntensityBasedEnergy,4,0.8
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,4,0.8
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,4,0.8
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,4,0.8
GLSZM_GreyLevelVariance,4,0.8
IH_IntensityHistogramSkewness_Intensity,3,0.6
GLSZM_SmallZoneLowGreyLevelEmphasis,3,0.6
IB_IntensitySkewness,3,0.6
Morph_Compacity,3,0.6
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,3,0.6
GLSZM_LargeZoneHighGreyLevelEmphasis,2,0.4
GLCM_ClusterShade,2,0.4
GLSZM_NormalisedZoneSizeNonUniformity,2,0.4
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,2,0.4
Morph_Asphericity,2,0.4
GLSZM_GreyLevelNonUniformity,2,0.4
Morph_SphericalDisproportion,2,0.4
NGTDM_Coarseness,2,0.4
GLSZM_NormalisedGreyLevelNonUniformity,2,0.4
Morph_Compactness1,1,0.2
GLCM_ClusterProminence,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,1,0.2
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,1,0.2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2
IB_MaximumIntensity,1,0.2
IH_MaximumHistogramGradient_Intensity,1,0.2
IH_IntensityHistogramRange_Intensity,1,0.2
IB_MinimumIntensity,1,0.2
IB_IntensityBasedCoefficientOfVariation,1,0.2
IB_10thIntensityPercentile,1,0.2
GLSZM_ZoneSizeVariance,1,0.2
GLSZM_ZonePercentage,1,0.2
GLSZM_SmallZoneHighGreyLevelEmphasis,1,0.2
GLSZM_SmallZoneEmphasis,1,0.2
GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2
GLSZM_LargeZoneEmphasis,1,0.2
GLRLM_ShortRunLowGreyLevelEmphasis,1,0.2
GLRLM_LongRunLowGreyLevelEmphasis,1,0.2
GLCM_Correlation,1,0.2
NGTDM_Strength,1,0.2
