fold,C,gamma
1,0.4819437348329684,0.0300302028157839
2,0.4819437348329684,0.0300302028157839
3,0.4819437348329684,0.0300302028157839
4,0.4819437348329684,0.0300302028157839
5,0.4819437348329684,0.0300302028157839
6,0.4819437348329684,0.0300302028157839
7,0.4819437348329684,0.0300302028157839
8,0.4819437348329684,0.0300302028157839
9,0.4819437348329684,0.0300302028157839
10,0.4819437348329684,0.0300302028157839
11,0.4819437348329684,0.0300302028157839
12,0.4819437348329684,0.0300302028157839
13,0.4819437348329684,0.0300302028157839
14,0.4819437348329684,0.0300302028157839
15,0.4819437348329684,0.0300302028157839
