Feature_Name,Selection_Count,Selection_Frequency
ADC_IH_IntensityHistogramMedian_Intensity,3,0.6
Post1_Morph_Sphericity,3,0.6
Post2_GLCM_Correlation,3,0.6
Post2_GLCM_InverseVariance,3,0.6
Post2_IH_IntensityHistogramMode_Intensity,3,0.6
ADC_GLSZM_GreyLevelVariance,2,0.4
Post1_Morph_Compactness1,2,0.4
ADC_IB_MedianIntensity,2,0.4
Post2_Morph_Sphericity,1,0.2
Pre_GLSZM_HighGrayLevelZoneEmphasis,1,0.2
Pre_GLSZM_GreyLevelVariance,1,0.2
Pre_GLCM_ClusterProminence,1,0.2
Post2_GLCM_AngularSecondMoment,1,0.2
Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
Post1_IH_IntensityHistogramMode_Intensity,1,0.2
Post1_GLSZM_LargeZoneEmphasis,1,0.2
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2
