Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
ADC_Post1_Post2,ADC,Post1,Post2,LogisticRegression,0.7971031746031746,0.0754809054992462,0.7904761904761903,0.8365358301840746,0.1218226059865871,0.8405974757837662,0.7325210084033613,0.1347571973301072,0.7168141592920354,0.7261904761904763,0.1419157696096356,0.7192063492063492,0.79,0.1356465996625053,0.7719298245614035,0.7304761904761904,0.1558642870862792,0.6984126984126984,0.7481845402737898,0.1329298329297068,0.7333333333333333,0.7219047619047619,0.2249837484682614,0.74,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,SVM_Linear,0.7962301587301587,0.0725133674612441,0.7860317460317461,0.8297815055165048,0.1117622644735178,0.8272170904063334,0.7639495798319329,0.0965916684374856,0.7522123893805309,0.7611904761904762,0.1031405316147768,0.7509523809523809,0.8032967032967033,0.1243458915148627,0.7868852459016393,0.7838095238095237,0.0933646421949685,0.7619047619047619,0.7864440699140806,0.0874787959009583,0.7741935483870968,0.7385714285714287,0.1663289094608901,0.74,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,SVM_RBF,0.7960714285714285,0.0737000382714924,0.773968253968254,0.8334870787451519,0.1141573494698828,0.8195294706800147,0.7617086834733893,0.0868974924561593,0.7522123893805309,0.761468253968254,0.0903891603144047,0.7509523809523809,0.7968253968253969,0.0836313642686951,0.7868852459016393,0.7926984126984127,0.1254615063242945,0.7619047619047619,0.7849206349206349,0.0753090550112791,0.7741935483870968,0.7302380952380952,0.139353056573644,0.74,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,SVM_Linear,0.7951587301587301,0.0799874013763215,0.7587301587301587,0.8343374787537441,0.1204902747151866,0.7888610417875377,0.7371848739495798,0.0865138192151381,0.7256637168141593,0.7360714285714286,0.0785666585051967,0.7147619047619047,0.7503908999497234,0.129306102812889,0.7285714285714285,0.8347619047619048,0.1135030519710916,0.8095238095238095,0.7757066935042463,0.079814081039864,0.7669172932330827,0.6373809523809524,0.172223026843267,0.62,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,LogisticRegression,0.7925793650793651,0.0746326773815047,0.7885714285714286,0.8379234296875827,0.1246095867987677,0.841708478469847,0.7075210084033613,0.1406611270125244,0.6902654867256637,0.7035714285714286,0.144135374904344,0.6892063492063492,0.7605128205128204,0.159746676514606,0.7333333333333333,0.7304761904761904,0.1558642870862792,0.6984126984126984,0.7309118130010624,0.1392598274176668,0.7154471544715447,0.6766666666666666,0.2341889076033373,0.68,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,SVM_RBF,0.7886507936507936,0.0656410142849865,0.7603174603174603,0.8294065938008227,0.1139201706934269,0.8114057086737088,0.7182773109243696,0.0741343661472232,0.7079646017699115,0.718015873015873,0.058945123537179,0.6988888888888889,0.735406162464986,0.1102852879841252,0.7205882352941176,0.8069841269841269,0.1278959327520327,0.7777777777777778,0.7544511145237098,0.075713470761232,0.7480916030534351,0.6290476190476191,0.1429079274811634,0.62,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,LogisticRegression,0.7868253968253968,0.0724679232434526,0.7660317460317461,0.8292216714668801,0.0883395374220052,0.8143951537541139,0.6960364145658263,0.0596660616894377,0.6902654867256637,0.6944444444444444,0.0582341776858165,0.6933333333333334,0.7514996114996115,0.048181627095133,0.75,0.6884126984126985,0.0980633841536452,0.6666666666666666,0.7118416347381864,0.0523415702906612,0.7058823529411765,0.7004761904761905,0.1104145969514658,0.72,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,38,3,1.368421052631579
ADC_Post1_Post2,ADC,Post1,Post2,NaiveBayes,0.7864285714285714,0.053635998711432,0.72,0.8313475418760955,0.0519690006097726,0.7548024412830032,0.6928011204481793,0.0718958516727358,0.6814159292035398,0.6870238095238095,0.0888753887140461,0.6812698412698412,0.7719444444444445,0.1510927276399463,0.7288135593220338,0.7157142857142856,0.2036962549314951,0.6825396825396826,0.704940148087207,0.1014913775941672,0.7049180327868853,0.6583333333333333,0.2962731472438529,0.68,7.6,7.6,3.878143885933063,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.3103448275862069
ADC_Post1_Post2,ADC,Post1,Post2,SVM_RBF,0.7837698412698414,0.0699129772575512,0.76,0.8383440077417299,0.0888761591654701,0.8191333968718876,0.7117086834733893,0.1177324570005913,0.6991150442477876,0.7244047619047619,0.1149808007021534,0.7033333333333334,0.7820202020202021,0.1850293314162334,0.7636363636363637,0.6928571428571428,0.1938458554404859,0.6666666666666666,0.7129019129019128,0.1483728566374158,0.711864406779661,0.7559523809523809,0.1573051110396088,0.74,7.6,7.6,3.878143885933063,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,29,4,1.3103448275862069
ADC_Post1_Post2,ADC,Post1,Post2,KNN,0.781765873015873,0.0860681810916337,0.7477777777777777,0.7942389373366817,0.1413002269709973,0.7675825047816658,0.6790896358543417,0.1246326082544464,0.6637168141592921,0.6924206349206349,0.1111488314657675,0.6612698412698412,0.7435987215398979,0.1512788872067185,0.7049180327868853,0.7250793650793651,0.1773731222305,0.6825396825396826,0.7059829059829059,0.1261616182618625,0.6935483870967742,0.6597619047619048,0.2103290802420455,0.64,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,22,3,1.7272727272727273
